"","mirna.names"
"795","hsa.miR.518e.3p.1"
"796","hsa.miR.518e.5p.1"
"797","hsa.miR.518f.1"
"798","hsa.miR.518f..1"
"799","hsa.miR.519a.1..1"
"800","hsa.miR.519a.2..2"
"801","hsa.miR.519a.2..3"
"802","hsa.miR.519b.1"
"803","hsa.miR.519b..1"
"804","hsa.miR.519c.1"
"805","hsa.miR.519c..1"
"806","hsa.miR.519d.1"
"807","hsa.miR.519d..1"
"808","hsa.miR.519e.3p.1"
"809","hsa.miR.519e.5p.1"
"810","hsa.miR.520a.1"
"811","hsa.miR.520a..1"
"812","hsa.miR.520b.3p.1"
"813","hsa.miR.520b.5p.1"
"814","hsa.miR.520c.1"
"815","hsa.miR.520c..1"
"816","hsa.miR.520d.3p.1"
"817","hsa.miR.520d.5p.1"
"818","hsa.miR.520e.1"
"819","hsa.miR.520e..1"
"820","hsa.miR.520f.1"
"821","hsa.miR.520f..1"
"822","hsa.miR.520g.1"
"823","hsa.miR.520g..1"
"824","hsa.miR.520h.1"
"825","hsa.miR.520h..1"
"826","hsa.miR.521.1..1"
"827","hsa.miR.521.2..2"
"828","hsa.miR.521.2..3"
"829","hsa.miR.522.1"
"830","hsa.miR.522..1"
"831","hsa.miR.523.3p.1"
"832","hsa.miR.523.5p.1"
"833","hsa.miR.524.1"
